material_number,brand,therapeutic_area,country,legal_entity
RX-1234-FIN,Nexium,Gastroenterology,Global,AZ Pharma Ltd
RX-2891-FIN,Symbicort,Respiratory,Global,AZ Pharma Ltd
RX-3312-FIN,Enhertu,Oncology,Global,AZ Biologics Inc
RX-4567-FIN,Tagrisso,Oncology,Global,AZ Oncology Ltd
RX-5521-FIN,Lynparza,Oncology,Global,AZ Oncology Ltd
RX-6103-FIN,Brilinta,Cardiovascular,Global,AZ Pharma Ltd
RX-7890-FIN,Breztri,Respiratory,Global,AZ Pharma Ltd
RX-8834-FIN,Farxiga,Cardiovascular,Global,AZ Biologics Inc
RX-9901-FIN,Saphnelo,Respiratory,Global,AZ Biologics Inc
RX-1156-FIN,Fasenra,Respiratory,Global,AZ Biologics Inc
