source_plant,destination_plant,material_number,chain_step,step_type,interco_markup_pct,transport_cost_per_unit
PL05,PL01,RX-1001,1,API_MFG,8.0,0.45
PL01,PL03,RX-1001,2,FORMULATION,5.0,0.22
PL03,PL04,RX-1001,3,PACKAGING,3.0,0.35
PL05,PL01,RX-2050,1,API_MFG,8.0,0.45
PL01,PL02,RX-2050,2,FORMULATION,5.0,0.18
PL02,PL04,RX-2050,3,PACKAGING,3.0,0.30
PL05,PL03,RX-3344,1,API_MFG,10.0,0.52
PL03,PL04,RX-3344,2,FORMULATION,5.0,0.22
PL05,PL01,RX-4421,1,API_MFG,12.0,0.45
PL01,PL04,RX-4421,2,FORMULATION,6.0,0.28
PL05,PL02,RX-5500,1,API_MFG,10.0,0.40
PL02,PL04,RX-5500,2,FORMULATION,5.0,0.25
